RB,Shaun,Draughn,NYG,Giants,Running Back
RB,Lance,Dunbar,LAR,Rams,Running Back
TE,Eric,Ebron,DET,Lions,Tight End
WR,Julian,Edelman,NE,Patriots,Wide Receiver
TE,Tyler,Eifert,CIN,Bengals,Tight End
RB,Andre,Ellington,ARZ,Cardinals,Running Back
WR,Bruce,Ellington,SF,49ers,Wide Receiver
RB,Ezekiel,Elliott,DAL,Cowboys,Running Back
K,Jake,Elliott,CIN,Bengals,Kicker
TE,Evan,Engram,NYG,Giants,Tight End
WR,Quincy,Enunwa,NYJ,Jets,Wide Receiver
TE,Zach,Ertz,PHI,Eagles,Tight End
WR,Mike,Evans,TB,Buccaneers,Wide Receiver
TE,Gerald,Everett,LAR,Rams,Tight End
TE,C.J.,Fiedorowicz,HOU,Texans,Tight End
WR,Larry,Fitzgerald,ARZ,Cardinals,Wide Receiver
QB,Ryan,Fitzpatrick,TB,Buccaneers,Quarterback
QB,Joe,Flacco,BAL,Ravens,Quarterback
TE,Coby,Fleener,NO,Saints,Tight End
WR,Michael,Floyd,MIN,Vikings,Wide Receiver
K,Kai,Forbath,MIN,Vikings,Kicker
RB,D'Onta,Foreman,HOU,Texans,Running Back
RB,Matt,Forte,NYJ,Jets,Running Back
RB,Leonard,Fournette,JAC,Jaguars,Running Back
K,Andrew,Franks,MIA,Dolphins,Kicker
RB,Devonta,Freeman,ATL,Falcons,Running Back
WR,Will,Fuller,HOU,Texans,Wide Receiver
WR,Devin,Funchess,CAR,Panthers,Wide Receiver
WR,Taylor,Gabriel,ATL,Falcons,Wide Receiver
K,Graham,Gano,CAR,Panthers,Kicker
WR,Pierre,Garcon,SF,49ers,Wide Receiver
TE,Antonio,Gates,LAC,Chargers,Tight End
RB,Mike,Gillislee,NE,Patriots,Running Back
TE,Crockett,Gillmore,BAL,Ravens,Tight End
WR,Ted,Ginn,NO,Saints,Wide Receiver
QB,Mike,Glennon,CHI,Bears,Quarterback
WR,Chris,Godwin,TB,Buccaneers,Wide Receiver
QB,Jared,Goff,LAR,Rams,Quarterback
WR,Kenny,Golladay,DET,Lions,Wide Receiver
K,Zane,Gonzalez,CLE,Browns,Kicker
WR,Marquise,Goodwin,SF,49ers,Wide Receiver
WR,Josh,Gordon,CLE,Browns,Wide Receiver
RB,Melvin,Gordon,LAC,Chargers,Running Back
RB,Frank,Gore,IND,Colts,Running Back
K,Stephen,Gostkowski,NE,Patriots,Kicker
K,Robbie,Gould,SF,49ers,Kicker
TE,Jimmy,Graham,SEA,Seahawks,Tight End
RB,Corey,Grant,JAC,Jaguars,Running Back
WR,A.J.,Green,CIN,Bengals,Wide Receiver
TE,Virgil,Green,DEN,Broncos,Tight End
TE,Jermaine,Gresham,ARZ,Cardinals,Tight End
TE,Rob,Gronkowski,NE,Patriots,Tight End
RB,Todd,Gurley,LAR,Rams,Running Back
QB,Christian,Hackenberg,NYJ,Jets,Quarterback
WR,Justin,Hardy,ATL,Falcons,Wide Receiver
K,Steven,Hauschka,BUF,Bills,Kicker
RB,Derrick,Henry,TEN,Titans,Running Back
TE,Hunter,Henry,LAC,Chargers,Tight End
TE,Tyler,Higbee,LAR,Rams,Tight End
RB,Tim,Hightower,SF,49ers,Running Back
RB,Jeremy,Hill,CIN,Bengals,Running Back
TE,Josh,Hill,NO,Saints,Tight End
WR,Tyreek,Hill,KC,Chiefs,Wide Receiver
WR,T.Y.,Hilton,IND,Colts,Wide Receiver
